"=>ERA5_t2m_-27,6_-48,6_1991_202505_anom_obs_cli_st",,,,,
t,ano,mes,obs,cli,anom
1,1991,1,"22,6","24,1","-1,6"
2,1991,2,"23,1","24,3","-1,3"
3,1991,3,"22,8","23,4","-0,6"
4,1991,4,"21,2","21,5","-0,3"
5,1991,5,"19,5","18,6","0,9"
6,1991,6,"16,9","16,8","0,1"
7,1991,7,"15,2","15,8","-0,7"
8,1991,8,"16,7","16,6","0,1"
9,1991,9,"17,9","17,8","0,1"
10,1991,10,"19,6","19,5","0,1"
11,1991,11,"20,9","21,1","-0,3"
12,1991,12,24,23,"0,9"
13,1992,1,"23,8","24,1","-0,3"
14,1992,2,"24,5","24,3","0,2"
15,1992,3,"23,4","23,4","-0,1"
16,1992,4,"21,5","21,5","-0,1"
17,1992,5,18,"18,6","-0,6"
18,1992,6,18,"16,8","1,2"
19,1992,7,"14,5","15,8","-1,3"
20,1992,8,"14,9","16,6","-1,7"
21,1992,9,"17,5","17,8","-0,3"
22,1992,10,"19,2","19,5","-0,4"
23,1992,11,"20,4","21,1","-0,8"
24,1992,12,"22,1",23,"-0,9"
25,1993,1,"24,2","24,1",0
26,1993,2,"23,4","24,3","-0,9"
27,1993,3,"23,2","23,4","-0,3"
28,1993,4,"22,2","21,5","0,6"
29,1993,5,"18,7","18,6",0
30,1993,6,"15,9","16,8",-1
31,1993,7,"14,9","15,8","-0,9"
32,1993,8,"15,2","16,6","-1,4"
33,1993,9,"16,2","17,8","-1,6"
34,1993,10,"19,8","19,5","0,2"
35,1993,11,"22,5","21,1","1,3"
36,1993,12,"23,1",23,0
37,1994,1,"23,2","24,1",-1
38,1994,2,"24,8","24,3","0,5"
39,1994,3,"22,8","23,4","-0,7"
40,1994,4,"20,9","21,5","-0,6"
41,1994,5,"20,1","18,6","1,5"
42,1994,6,"16,2","16,8","-0,6"
43,1994,7,16,"15,8","0,1"
44,1994,8,"15,8","16,6","-0,8"
45,1994,9,"17,7","17,8","-0,1"
46,1994,10,"19,6","19,5","0,1"
47,1994,11,"21,1","21,1",0
48,1994,12,24,23,"0,9"
49,1995,1,"24,4","24,1","0,3"
50,1995,2,"23,3","24,3",-1
51,1995,3,"22,9","23,4","-0,6"
52,1995,4,"20,5","21,5","-1,1"
53,1995,5,"17,9","18,6","-0,7"
54,1995,6,"16,2","16,8","-0,6"
55,1995,7,"17,2","15,8","1,3"
56,1995,8,"17,1","16,6","0,5"
57,1995,9,"17,5","17,8","-0,4"
58,1995,10,"18,2","19,5","-1,3"
59,1995,11,"21,1","21,1",0
60,1995,12,"22,9",23,"-0,2"
61,1996,1,"24,1","24,1","-0,1"
62,1996,2,"24,1","24,3","-0,2"
63,1996,3,"22,6","23,4","-0,9"
64,1996,4,"21,9","21,5","0,3"
65,1996,5,"18,5","18,6","-0,2"
66,1996,6,"14,9","16,8","-1,9"
67,1996,7,"13,5","15,8","-2,4"
68,1996,8,"15,6","16,6",-1
69,1996,9,"16,9","17,8","-0,9"
70,1996,10,"19,6","19,5",0
71,1996,11,"21,1","21,1",0
72,1996,12,"23,5",23,"0,4"
73,1997,1,"24,1","24,1","-0,1"
74,1997,2,"24,3","24,3",0
75,1997,3,"22,6","23,4","-0,9"
76,1997,4,"20,8","21,5","-0,7"
77,1997,5,"18,7","18,6","0,1"
78,1997,6,"16,7","16,8","-0,1"
79,1997,7,"16,8","15,8",1
80,1997,8,"17,1","16,6","0,5"
81,1997,9,"17,9","17,8","0,1"
82,1997,10,"18,7","19,5","-0,8"
83,1997,11,"21,1","21,1",0
84,1997,12,"23,8",23,"0,8"
85,1998,1,"24,5","24,1","0,3"
86,1998,2,"24,3","24,3",0
87,1998,3,"23,3","23,4","-0,2"
88,1998,4,"21,6","21,5","0,1"
89,1998,5,"18,3","18,6","-0,3"
90,1998,6,"15,8","16,8",-1
91,1998,7,"16,1","15,8","0,3"
92,1998,8,"17,2","16,6","0,6"
93,1998,9,"17,3","17,8","-0,5"
94,1998,10,19,"19,5","-0,5"
95,1998,11,"20,4","21,1","-0,8"
96,1998,12,"22,9",23,"-0,2"
97,1999,1,"23,8","24,1","-0,4"
98,1999,2,24,"24,3","-0,3"
99,1999,3,"24,2","23,4","0,7"
100,1999,4,"20,4","21,5","-1,1"
101,1999,5,"17,8","18,6","-0,8"
102,1999,6,"15,7","16,8","-1,1"
103,1999,7,"15,4","15,8","-0,4"
104,1999,8,"16,2","16,6","-0,4"
105,1999,9,"18,1","17,8","0,2"
106,1999,10,18,"19,5","-1,6"
107,1999,11,"19,5","21,1","-1,6"
108,1999,12,"22,4",23,"-0,7"
109,2000,1,24,"24,1","-0,2"
110,2000,2,"23,6","24,3","-0,7"
111,2000,3,"22,9","23,4","-0,6"
